frame, x, y, z
13,351.611,149.332,1256
13,387.417,150.493,1252
13,423.477,151.552,1256
13,459.933,152.471,1275
13,174.89,164.494,1256
13,209.813,165.688,1256
13,244.929,167.394,1243
13,280.329,169.01,1243
13,315.842,170.449,1247
13,350.985,171.722,1247
13,386.174,172.855,1247
13,421.561,173.881,1256
13,457.538,174.758,1265
13,175.008,186.006,1243
13,209.804,187.636,1247
13,244.741,189.669,1252
13,280.001,191.496,1243
13,315.486,193.019,1243
13,350.302,194.244,1247
13,385.242,195.266,1247
13,420.356,196.184,1252
13,455.976,196.995,1256
13,175.249,209.23,1238
13,209.818,210.63,1243
13,244.43,212.562,1252
13,279.323,214.353,1243
13,314.475,215.812,1243
13,349.488,216.889,1238
13,384.699,217.7,1243
13,420.15,218.397,1238
13,456.189,219.026,1256
13,175.543,233.323,1229
13,209.842,234.408,1243
13,244.037,235.957,1225
13,278.439,237.519,1234
13,313.28,238.797,1238
13,348.672,239.634,1243
13,384.522,240.156,1238
13,420.708,240.555,1238
13,457.293,240.969,1252
13,175.831,257.727,1225
13,209.856,258.51,1243
13,243.654,259.612,1225
13,277.601,260.861,1221
13,312.188,261.905,1234
13,348.045,262.439,1234
13,384.618,262.647,1238
13,421.593,262.74,1234
13,458.723,262.929,1243
13,176.003,282.013,1216
13,209.819,282.526,1247
13,243.378,283.266,1238
13,277.077,284.2,1225
13,311.49,285.007,1225
13,347.786,285.237,1229
13,384.888,285.183,1225
13,422.418,285.039,1234
13,460.008,285.017,1238
14,174.002,102.002,1252
14,209.403,102.154,1256
14,244.944,102.494,1261
14,280.592,103.135,1261
14,316.502,104.014,1261
14,353.204,105.126,1265
14,390.275,106.252,1270
14,427.631,107.229,1270
14,465.004,107.983,1275
14,174.124,122.716,1265
14,209.41,123.176,1247
14,244.851,123.905,1256
14,280.411,124.881,1261
14,316.172,126.03,1261
14,352.378,127.325,1256
14,388.88,128.607,1256
14,425.668,129.718,1261
14,462.598,130.553,1275
14,174.37,143.342,1256
14,209.535,144.178,1247
14,244.867,145.426,1247
14,280.383,146.781,1252
14,316.013,148.175,1256
14,351.673,149.622,1256
